employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Aviso Wealth,information technology (IT) analyst,Vancouver,BC,"$105,000.00 to $125,000.00 annually","May 29, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49745277?source=searchresults,49745277
Waterworth,information technology (IT) analyst,Victoria,BC,"$75,000.00 to $90,000.00 annually","May 28, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49742138?source=searchresults,49742138
Powertech Labs,information technology (IT) analyst,Surrey,BC,"$78,000.00 annually","May 28, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49742189?source=searchresults,49742189
HireHawk,information technology (IT) analyst,Vancouver,BC,"$200,000.00 annually","May 26, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49726920?source=searchresults,49726920
Pacific Energy Canada,information technology (IT) analyst,Vancouver,BC,"$110,000.00 to $140,000.00 annually","May 25, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49726514?source=searchresults,49726514
FYidoctors,information technology (IT) analyst,Campbell River,BC,$30.00 hourly,"May 25, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741689?source=searchresults,49741689
Pacific Energy Canada,information technology (IT) analyst,Squamish,BC,"$110,000.00 to $140,000.00 annually","May 25, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49745127?source=searchresults,49745127
Rentokil Initial,information technology (IT) analyst,Vancouver,BC,"$38,000.00 to $41,600.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49726751?source=searchresults,49726751
Rentokil Initial,information technology (IT) analyst,Coquitlam,BC,$21.00 to $24.00 annually,"May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49719253?source=searchresults,49719253
Pacific Energy Canada,information technology (IT) analyst,Vancouver,BC,"$150,000.00 to $170,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741490?source=searchresults,49741490
Phasor Engineering Inc,information technology (IT) analyst,Vancouver,BC,"$164,500.00 to $224,500.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741553?source=searchresults,49741553
Houle Electric Limited,information technology (IT) analyst,Burnaby,BC,"$125,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741616?source=searchresults,49741616
Aviso Wealth,information technology (IT) analyst,Vancouver,BC,"$60,000.00 to $70,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741655?source=searchresults,49741655
Rentokil Initial,information technology (IT) analyst,Burnaby,BC,"$42,000.00 to $46,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49742466?source=searchresults,49742466
Liberty Mutual Canada,information technology (IT) analyst,Vancouver,BC,"$82,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49745217?source=searchresults,49745217
Aviso Wealth,information technology (IT) analyst,Vancouver,BC,"$93,000.00 to $113,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49745268?source=searchresults,49745268
Engineers and Geoscientists BC,information technology (IT) analyst,Burnaby,BC,"$88,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49719331?source=searchresults,49719331
INNOV8 DIGITAL SOLUTIONS INC.,information technology (IT) specialist,Victoria,BC,$31.00 hourly,"April 29, 2026",Job Bank,True,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49423746?source=searchresults,49423746
Axiom Builders Inc.,management information systems (MIS) analyst,Vancouver,BC,$46.15 hourly,"February 27, 2026",Job Bank,True,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49018479?source=searchresults,49018479
New Profession SVA Collision,business systems analyst,Richmond,BC,"$67,000.00 to $70,000.00 annually (to be negotiated)","June 08, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49669866?source=searchresults,49669866
