employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Sun CyberNET,"analyst, management information systems (MIS)",Happy Valley-Goose Bay,NL,$25.00 hourly,"March 23, 2026",Job Bank,True,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49158197?source=searchresults,49158197
NLSchools,business systems analyst,St. John's,NL,"$61,416.00 to $79,841.00 annually","June 12, 2026",CareerBeacon,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49705479?source=searchresults,49705479
NL Health Services,"manager, computerized information systems",St. John's,NL,$43.75 to $103.37 hourly,"June 18, 2026",CareerBeacon,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49746817?source=searchresults,49746817
Sun CyberNET,software tester,Happy Valley-Goose Bay,NL,$18.00 hourly,"June 04, 2026",Job Bank,True,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49650498?source=searchresults,49650498
Vision33,"manager, IT (information technology) implementation",St. John's,NL,$43.75 to $103.37 hourly,"June 01, 2026",CareerBeacon,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49626693?source=searchresults,49626693
PS DEFENSE CORPORATION,cybersecurity consultant,St. John's,NL,"$97,000.00 annually","June 14, 2026",Job Bank,True,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49717245?source=searchresults,49717245
